locality,lon,lat,emergence,host,host.gen,radius,ENM_avz_sd,ENM_avm_sd,ENM_avs_sd,ENM_a_s50km,ENM_a_m50km,ENM_a_z50km
AbuNaama,34.15,12.73333333,0.619298246,sorghum,IS-5603,50000,0.146490903,0.172218357,0.114440554,-0.301802756,0.314337731,-0.304061611
AbuNaama,34.15,12.73333333,0.294736842,sorghum,SRN-4841,50000,0.146490903,0.172218357,0.114440554,-0.301802756,0.314337731,-0.304061611
AbuNaama,34.15,12.73333333,0.877192982,sorghum,N-13,50000,0.146490903,0.172218357,0.114440554,-0.301802756,0.314337731,-0.304061611
AbuNaama,34.15,12.73333333,0.745614035,sorghum,CK-60B,50000,0.146490903,0.172218357,0.114440554,-0.301802756,0.314337731,-0.304061611
AbuNaama,34.15,12.73333333,1,sorghum,1202B,50000,0.146490903,0.172218357,0.114440554,-0.301802756,0.314337731,-0.304061611
AbuNaama,34.15,12.73333333,0.961403509,sorghum,2219B,50000,0.146490903,0.172218357,0.114440554,-0.301802756,0.314337731,-0.304061611
AbuNaama,34.15,12.73333333,0.145614035,millet,B-282,50000,0.146490903,0.172218357,0.114440554,-0.301802756,0.314337731,-0.304061611
AbuNaama,34.15,12.73333333,0.180701754,millet,Ex-Bomu,50000,0.146490903,0.172218357,0.114440554,-0.301802756,0.314337731,-0.304061611
AbuNaama,34.15,12.73333333,0.198245614,millet,J-104,50000,0.146490903,0.172218357,0.114440554,-0.301802756,0.314337731,-0.304061611
AbuNaama,34.15,12.73333333,0.136842105,millet,D2-Comp,50000,0.146490903,0.172218357,0.114440554,-0.301802756,0.314337731,-0.304061611
AbuNaama,34.15,12.73333333,0.452631579,millet,CIVT-II,50000,0.146490903,0.172218357,0.114440554,-0.301802756,0.314337731,-0.304061611
AbuNaama,34.15,12.73333333,0.171929825,maize,D-771,50000,0.146490903,0.172218357,0.114440554,-0.301802756,0.314337731,-0.304061611
AbuNaama,34.15,12.73333333,0.114035088,maize,Diara,50000,0.146490903,0.172218357,0.114440554,-0.301802756,0.314337731,-0.304061611
AbuNaama,34.15,12.73333333,0.133333333,maize,Syn-B23,50000,0.146490903,0.172218357,0.114440554,-0.301802756,0.314337731,-0.304061611
AbuNaama,34.15,12.73333333,0.157894737,maize,L-4,50000,0.146490903,0.172218357,0.114440554,-0.301802756,0.314337731,-0.304061611
Andre,4.392543,11.901889,0.3125,maize,8322-13,50000,0.147399041,0.067566057,0.059049692,0.003771301,0.026500334,0.359911118
Andre,4.392543,11.901889,0.270833333,maize,8425-8,50000,0.147399041,0.067566057,0.059049692,0.003771301,0.026500334,0.359911118
Andre,4.392543,11.901889,1,maize,8338-1,50000,0.147399041,0.067566057,0.059049692,0.003771301,0.026500334,0.359911118
Andre,4.392543,11.901889,0.774305556,maize,8321-21,50000,0.147399041,0.067566057,0.059049692,0.003771301,0.026500334,0.359911118
Andre,4.392543,11.901889,0.336805556,sorghum,KSY-15,50000,0.147399041,0.067566057,0.059049692,0.003771301,0.026500334,0.359911118
Andre,4.392543,11.901889,0.434027778,sorghum,SRN-4841,50000,0.147399041,0.067566057,0.059049692,0.003771301,0.026500334,0.359911118
Andre,4.392543,11.901889,0.017361111,millet,SE302,50000,0.147399041,0.067566057,0.059049692,0.003771301,0.026500334,0.359911118
Andre,4.392543,11.901889,0.027777778,millet,SE2124,50000,0.147399041,0.067566057,0.059049692,0.003771301,0.026500334,0.359911118
Bakura,5.871866,12.705986,0.872093023,maize,8322-13,50000,0.146154194,0.154302969,0.117361522,-0.121142251,-0.209861712,0.214233363
Bakura,5.871866,12.705986,0.970930233,maize,8425-8,50000,0.146154194,0.154302969,0.117361522,-0.121142251,-0.209861712,0.214233363
Bakura,5.871866,12.705986,0.941860465,maize,8338-1,50000,0.146154194,0.154302969,0.117361522,-0.121142251,-0.209861712,0.214233363
Bakura,5.871866,12.705986,1,maize,8321-21,50000,0.146154194,0.154302969,0.117361522,-0.121142251,-0.209861712,0.214233363
Bakura,5.871866,12.705986,0.88372093,sorghum,KSY-15,50000,0.146154194,0.154302969,0.117361522,-0.121142251,-0.209861712,0.214233363
Bakura,5.871866,12.705986,0.534883721,sorghum,SRN-4841,50000,0.146154194,0.154302969,0.117361522,-0.121142251,-0.209861712,0.214233363
Bakura,5.871866,12.705986,0.813953488,millet,SE302,50000,0.146154194,0.154302969,0.117361522,-0.121142251,-0.209861712,0.214233363
Bakura,5.871866,12.705986,0.784883721,millet,SE2124,50000,0.146154194,0.154302969,0.117361522,-0.121142251,-0.209861712,0.214233363
Bambey,-16.456983,14.698908,0.056156156,sorghum,IS-2652,50000,0.136670992,0.140184995,0.231575198,0.418660842,-0.315724617,0.339107726
Bambey,-16.456983,14.698908,0.011111111,sorghum,IS-3469,50000,0.136670992,0.140184995,0.231575198,0.418660842,-0.315724617,0.339107726
Bambey,-16.456983,14.698908,0.36036036,sorghum,IS-9289,50000,0.136670992,0.140184995,0.231575198,0.418660842,-0.315724617,0.339107726
Bambey,-16.456983,14.698908,0.144144144,sorghum,DFF-2123,50000,0.136670992,0.140184995,0.231575198,0.418660842,-0.315724617,0.339107726
Bambey,-16.456983,14.698908,0.858858859,millet,Ex-Tukur,50000,0.136670992,0.140184995,0.231575198,0.418660842,-0.315724617,0.339107726
Bambey,-16.456983,14.698908,1,millet,Ex-Mokwa,50000,0.136670992,0.140184995,0.231575198,0.418660842,-0.315724617,0.339107726
Bambey,-16.456983,14.698908,0.115015015,maize,NigCompB,50000,0.136670992,0.140184995,0.231575198,0.418660842,-0.315724617,0.339107726
Bambey,-16.456983,14.698908,0.047447447,maize,BiuYellowXC-10,50000,0.136670992,0.140184995,0.231575198,0.418660842,-0.315724617,0.339107726
Bida,6.005702,9.081794,0.492424242,maize,8322-13,50000,0.15078146,0.114273337,0.112947435,-0.121420993,0.114949616,-0.271696413
Bida,6.005702,9.081794,1,maize,8425-8,50000,0.15078146,0.114273337,0.112947435,-0.121420993,0.114949616,-0.271696413
Bida,6.005702,9.081794,0.590909091,maize,8338-1,50000,0.15078146,0.114273337,0.112947435,-0.121420993,0.114949616,-0.271696413
Bida,6.005702,9.081794,0.704545455,maize,8321-21,50000,0.15078146,0.114273337,0.112947435,-0.121420993,0.114949616,-0.271696413
Bida,6.005702,9.081794,0.439393939,sorghum,KSY-15,50000,0.15078146,0.114273337,0.112947435,-0.121420993,0.114949616,-0.271696413
Bida,6.005702,9.081794,0.340909091,sorghum,SRN-4841,50000,0.15078146,0.114273337,0.112947435,-0.121420993,0.114949616,-0.271696413
Bida,6.005702,9.081794,0,millet,SE302,50000,0.15078146,0.114273337,0.112947435,-0.121420993,0.114949616,-0.271696413
