locality,lon,lat,emergence,host,host.gen,radius,ENM_avz,ENM_avm,ENM_avs
AbuNaama,34.15,12.73333333,0.619298246,sorghum,IS-5603,10000,-0.312967145815492,0.382904541351773,-0.280403594109923
AbuNaama,34.15,12.73333333,0.294736842,sorghum,SRN-4841,10000,-0.312967145815492,0.382904541351773,-0.280403594109923
AbuNaama,34.15,12.73333333,0.877192982,sorghum,N-13,10000,-0.312967145815492,0.382904541351773,-0.280403594109923
AbuNaama,34.15,12.73333333,0.745614035,sorghum,CK-60B,10000,-0.312967145815492,0.382904541351773,-0.280403594109923
AbuNaama,34.15,12.73333333,1,sorghum,1202B,10000,-0.312967145815492,0.382904541351773,-0.280403594109923
AbuNaama,34.15,12.73333333,0.961403509,sorghum,2219B,10000,-0.312967145815492,0.382904541351773,-0.280403594109923
AbuNaama,34.15,12.73333333,0.145614035,millet,B-282,10000,-0.312967145815492,0.382904541351773,-0.280403594109923
AbuNaama,34.15,12.73333333,0.180701754,millet,Ex-Bomu,10000,-0.312967145815492,0.382904541351773,-0.280403594109923
AbuNaama,34.15,12.73333333,0.198245614,millet,J-104,10000,-0.312967145815492,0.382904541351773,-0.280403594109923
AbuNaama,34.15,12.73333333,0.136842105,millet,D2-Comp,10000,-0.312967145815492,0.382904541351773,-0.280403594109923
AbuNaama,34.15,12.73333333,0.452631579,millet,CIVT-II,10000,-0.312967145815492,0.382904541351773,-0.280403594109923
AbuNaama,34.15,12.73333333,0.171929825,maize,D-771,10000,-0.312967145815492,0.382904541351773,-0.280403594109923
AbuNaama,34.15,12.73333333,0.114035088,maize,Diara,10000,-0.312967145815492,0.382904541351773,-0.280403594109923
AbuNaama,34.15,12.73333333,0.133333333,maize,Syn-B23,10000,-0.312967145815492,0.382904541351773,-0.280403594109923
AbuNaama,34.15,12.73333333,0.157894737,maize,L-4,10000,-0.312967145815492,0.382904541351773,-0.280403594109923
Andre,4.392543,11.901889,0.3125,maize,8322-13,10000,0.326957433859507,0.0526354438463847,0.00265342648824056
Andre,4.392543,11.901889,0.270833333,maize,8425-8,10000,0.326957433859507,0.0526354438463847,0.00265342648824056
Andre,4.392543,11.901889,1,maize,8338-1,10000,0.326957433859507,0.0526354438463847,0.00265342648824056
Andre,4.392543,11.901889,0.774305556,maize,8321-21,10000,0.326957433859507,0.0526354438463847,0.00265342648824056
Andre,4.392543,11.901889,0.336805556,sorghum,KSY-15,10000,0.326957433859507,0.0526354438463847,0.00265342648824056
Andre,4.392543,11.901889,0.434027778,sorghum,SRN-4841,10000,0.326957433859507,0.0526354438463847,0.00265342648824056
Andre,4.392543,11.901889,0.017361111,millet,SE302,10000,0.326957433859507,0.0526354438463847,0.00265342648824056
Andre,4.392543,11.901889,0.027777778,millet,SE2124,10000,0.326957433859507,0.0526354438463847,0.00265342648824056
Bakura,5.871866,12.705986,0.872093023,maize,8322-13,10000,0.240147533948875,-0.262231649925817,-0.133155818998654
Bakura,5.871866,12.705986,0.970930233,maize,8425-8,10000,0.240147533948875,-0.262231649925817,-0.133155818998654
Bakura,5.871866,12.705986,0.941860465,maize,8338-1,10000,0.240147533948875,-0.262231649925817,-0.133155818998654
Bakura,5.871866,12.705986,1,maize,8321-21,10000,0.240147533948875,-0.262231649925817,-0.133155818998654
Bakura,5.871866,12.705986,0.88372093,sorghum,KSY-15,10000,0.240147533948875,-0.262231649925817,-0.133155818998654
Bakura,5.871866,12.705986,0.534883721,sorghum,SRN-4841,10000,0.240147533948875,-0.262231649925817,-0.133155818998654
Bakura,5.871866,12.705986,0.813953488,millet,SE302,10000,0.240147533948875,-0.262231649925817,-0.133155818998654
Bakura,5.871866,12.705986,0.784883721,millet,SE2124,10000,0.240147533948875,-0.262231649925817,-0.133155818998654
Bambey,-16.456983,14.698908,0.056156156,sorghum,IS-2652,10000,0.360476447008845,-0.206380568621656,0.564524597161521
Bambey,-16.456983,14.698908,0.011111111,sorghum,IS-3469,10000,0.360476447008845,-0.206380568621656,0.564524597161521
Bambey,-16.456983,14.698908,0.36036036,sorghum,IS-9289,10000,0.360476447008845,-0.206380568621656,0.564524597161521
Bambey,-16.456983,14.698908,0.144144144,sorghum,DFF-2123,10000,0.360476447008845,-0.206380568621656,0.564524597161521
Bambey,-16.456983,14.698908,0.858858859,millet,Ex-Tukur,10000,0.360476447008845,-0.206380568621656,0.564524597161521
Bambey,-16.456983,14.698908,1,millet,Ex-Mokwa,10000,0.360476447008845,-0.206380568621656,0.564524597161521
Bambey,-16.456983,14.698908,0.115015015,maize,NigCompB,10000,0.360476447008845,-0.206380568621656,0.564524597161521
Bambey,-16.456983,14.698908,0.047447447,maize,BiuYellowXC-10,10000,0.360476447008845,-0.206380568621656,0.564524597161521
Bida,6.005702,9.081794,0.492424242,maize,8322-13,10000,-0.389868321758445,0.0230518984858708,-0.161061666585425
Bida,6.005702,9.081794,1,maize,8425-8,10000,-0.389868321758445,0.0230518984858708,-0.161061666585425
Bida,6.005702,9.081794,0.590909091,maize,8338-1,10000,-0.389868321758445,0.0230518984858708,-0.161061666585425
Bida,6.005702,9.081794,0.704545455,maize,8321-21,10000,-0.389868321758445,0.0230518984858708,-0.161061666585425
Bida,6.005702,9.081794,0.439393939,sorghum,KSY-15,10000,-0.389868321758445,0.0230518984858708,-0.161061666585425
Bida,6.005702,9.081794,0.340909091,sorghum,SRN-4841,10000,-0.389868321758445,0.0230518984858708,-0.161061666585425
Bida,6.005702,9.081794,0,millet,SE302,10000,-0.389868321758445,0.0230518984858708,-0.161061666585425
Bida,6.005702,9.081794,0,millet,SE2124,10000,-0.389868321758445,0.0230518984858708,-0.161061666585425
Busia,34.10946,0.458835,0.52240566,sorghum,IS-5603,10000,-0.263839656577722,0.276129870050008,0.119150255701026
Busia,34.10946,0.458835,0.375,sorghum,SRN-4841,10000,-0.263839656577722,0.276129870050008,0.119150255701026
Busia,34.10946,0.458835,0.377358491,sorghum,N-13,10000,-0.263839656577722,0.276129870050008,0.119150255701026
Busia,34.10946,0.458835,0.503537736,sorghum,CK-60B,10000,-0.263839656577722,0.276129870050008,0.119150255701026
Busia,34.10946,0.458835,0.9375,sorghum,1202B,10000,-0.263839656577722,0.276129870050008,0.119150255701026
Busia,34.10946,0.458835,0.666273585,sorghum,2219B,10000,-0.263839656577722,0.276129870050008,0.119150255701026
Busia,34.10946,0.458835,0.071933962,millet,B-282,10000,-0.263839656577722,0.276129870050008,0.119150255701026
Busia,34.10946,0.458835,0.071933962,millet,Ex-Bomu,10000,-0.263839656577722,0.276129870050008,0.119150255701026
Busia,34.10946,0.458835,0.108490566,millet,J-104,10000,-0.263839656577722,0.276129870050008,0.119150255701026
Busia,34.10946,0.458835,0.071933962,millet,D2-Comp,10000,-0.263839656577722,0.276129870050008,0.119150255701026
Busia,34.10946,0.458835,0.071933962,millet,CIVT-II,10000,-0.263839656577722,0.276129870050008,0.119150255701026
Busia,34.10946,0.458835,0.431603774,maize,D-771,10000,-0.263839656577722,0.276129870050008,0.119150255701026
Busia,34.10946,0.458835,1,maize,Diara,10000,-0.263839656577722,0.276129870050008,0.119150255701026
Busia,34.10946,0.458835,0.599056604,maize,Syn-B23,10000,-0.263839656577722,0.276129870050008,0.119150255701026
Busia,34.10946,0.458835,0.794811321,maize,L-4,10000,-0.263839656577722,0.276129870050008,0.119150255701026
Damaturu,11.964497,11.74704,0.85,maize,8322-13,10000,0.162263945950009,-0.135824670046166,0.068299350391501
Damaturu,11.964497,11.74704,0.85,maize,8425-8,10000,0.162263945950009,-0.135824670046166,0.068299350391501
Damaturu,11.964497,11.74704,1,maize,8338-1,10000,0.162263945950009,-0.135824670046166,0.068299350391501
Damaturu,11.964497,11.74704,0.727272727,maize,8321-21,10000,0.162263945950009,-0.135824670046166,0.068299350391501
Damaturu,11.964497,11.74704,0.240909091,sorghum,KSY-15,10000,0.162263945950009,-0.135824670046166,0.068299350391501
Damaturu,11.964497,11.74704,0.5,sorghum,SRN-4841,10000,0.162263945950009,-0.135824670046166,0.068299350391501
Damaturu,11.964497,11.74704,0.65,millet,SE302,10000,0.162263945950009,-0.135824670046166,0.068299350391501
Damaturu,11.964497,11.74704,0.445454545,millet,SE2124,10000,0.162263945950009,-0.135824670046166,0.068299350391501
FarakoBa,-4.305229,11.164901,0.894576012,sorghum,IS-5603,10000,0.0273026135019077,0.212853796780109,0.0132633764897623
FarakoBa,-4.305229,11.164901,0.179526356,sorghum,SRN-4841,10000,0.0273026135019077,0.212853796780109,0.0132633764897623
FarakoBa,-4.305229,11.164901,0.239877769,sorghum,N-13,10000,0.0273026135019077,0.212853796780109,0.0132633764897623
FarakoBa,-4.305229,11.164901,0.888464477,sorghum,CK-60B,10000,0.0273026135019077,0.212853796780109,0.0132633764897623
FarakoBa,-4.305229,11.164901,1,sorghum,1202B,10000,0.0273026135019077,0.212853796780109,0.0132633764897623
FarakoBa,-4.305229,11.164901,0.566080978,sorghum,2219B,10000,0.0273026135019077,0.212853796780109,0.0132633764897623
FarakoBa,-4.305229,11.164901,0.550038197,millet,B-282,10000,0.0273026135019077,0.212853796780109,0.0132633764897623
