"","locality","emergence","host","host.gen","lon","lat","ENM_a_s50km","ENM_a_m50km","ENM_a_z50km"
"59","Busia",0.431603774,"maize","D-771",34.10946,0.458835,0.135307208,0.324205692,-0.235077881
"60","Busia",1,"maize","Diara",34.10946,0.458835,0.135307208,0.324205692,-0.235077881
"61","Busia",0.599056604,"maize","Syn-B23",34.10946,0.458835,0.135307208,0.324205692,-0.235077881
"62","Busia",0.794811321,"maize","L-4",34.10946,0.458835,0.135307208,0.324205692,-0.235077881
"63","Damaturu",0.85,"maize","8322-13",11.964497,11.74704,0.055477301,-0.072180052,0.252294704
"64","Damaturu",0.85,"maize","8425-8",11.964497,11.74704,0.055477301,-0.072180052,0.252294704
"65","Damaturu",1,"maize","8338-1",11.964497,11.74704,0.055477301,-0.072180052,0.252294704
"66","Damaturu",0.727272727,"maize","8321-21",11.964497,11.74704,0.055477301,-0.072180052,0.252294704
"67","Damaturu",0.240909091,"sorghum","KSY-15",11.964497,11.74704,0.055477301,-0.072180052,0.252294704
"68","Damaturu",0.5,"sorghum","SRN-4841",11.964497,11.74704,0.055477301,-0.072180052,0.252294704
"69","Damaturu",0.65,"millet","SE302",11.964497,11.74704,0.055477301,-0.072180052,0.252294704
"70","Damaturu",0.445454545,"millet","SE2124",11.964497,11.74704,0.055477301,-0.072180052,0.252294704
"71","FarakoBa",0.894576012,"sorghum","IS-5603",-4.305229,11.164901,0.019778548,0.166814093,0.101349331
"72","FarakoBa",0.179526356,"sorghum","SRN-4841",-4.305229,11.164901,0.019778548,0.166814093,0.101349331
"73","FarakoBa",0.239877769,"sorghum","N-13",-4.305229,11.164901,0.019778548,0.166814093,0.101349331
"74","FarakoBa",0.888464477,"sorghum","CK-60B",-4.305229,11.164901,0.019778548,0.166814093,0.101349331
"75","FarakoBa",1,"sorghum","1202B",-4.305229,11.164901,0.019778548,0.166814093,0.101349331
"76","FarakoBa",0.566080978,"sorghum","2219B",-4.305229,11.164901,0.019778548,0.166814093,0.101349331
"77","FarakoBa",0.550038197,"millet","B-282",-4.305229,11.164901,0.019778548,0.166814093,0.101349331
"78","FarakoBa",0.48433919,"millet","Ex-Bomu",-4.305229,11.164901,0.019778548,0.166814093,0.101349331
"79","FarakoBa",0.453017571,"millet","J-104",-4.305229,11.164901,0.019778548,0.166814093,0.101349331
"80","FarakoBa",0.555385791,"millet","D2-Comp",-4.305229,11.164901,0.019778548,0.166814093,0.101349331
"81","FarakoBa",0.400305577,"millet","CIVT-II",-4.305229,11.164901,0.019778548,0.166814093,0.101349331
"82","FarakoBa",0.147440794,"maize","D-771",-4.305229,11.164901,0.019778548,0.166814093,0.101349331
"83","FarakoBa",0.067990833,"maize","Diara",-4.305229,11.164901,0.019778548,0.166814093,0.101349331
"84","FarakoBa",0.289533995,"maize","Syn-B23",-4.305229,11.164901,0.019778548,0.166814093,0.101349331
"85","FarakoBa",0.168831169,"maize","L-4",-4.305229,11.164901,0.019778548,0.166814093,0.101349331
"86","Galadima",0.515695067,"maize","8322-13",13.154291,11.822651,0.151654363,0.04694654,0.351007149
"87","Galadima",0.97309417,"maize","8425-8",13.154291,11.822651,0.151654363,0.04694654,0.351007149
"88","Galadima",0.874439462,"maize","8338-1",13.154291,11.822651,0.151654363,0.04694654,0.351007149
"89","Galadima",1,"maize","8321-21",13.154291,11.822651,0.151654363,0.04694654,0.351007149
"90","Galadima",0.282511211,"sorghum","KSY-15",13.154291,11.822651,0.151654363,0.04694654,0.351007149
"91","Galadima",0.547085202,"sorghum","SRN-4841",13.154291,11.822651,0.151654363,0.04694654,0.351007149
"92","Galadima",0.434977578,"millet","SE302",13.154291,11.822651,0.151654363,0.04694654,0.351007149
"93","Galadima",0.865470852,"millet","SE2124",13.154291,11.822651,0.151654363,0.04694654,0.351007149
